movie_title,release_date,imdb_rating,genre,budget,revenue,country,release_year,profit,rating_category
Wuthering Heights,2012-10-11,5.9,"Drama, Romance",8000000.0,2721534.0,AU,2012,-5278466.0,Low
Alice Under the Table,2015-10-15,6.1,Fantasy,170000000.0,295463225.0,ES,2015,125463225.0,Medium
Three O'Clock High,1987-10-09,6.9,Comedy,6000000.0,3685862.0,US,1987,-2314138.0,Medium
ATL,2006-03-31,7.0,"Drama, Comedy, Mystery",17000000.0,21170563.0,US,2006,4170563.0,Medium
Wild,2015-01-22,7.0,Drama,15000000.0,52460543.0,AU,2015,37460543.0,Medium
Get Carter,2001-02-06,5.1,"Action, Drama, Thriller, Crime",40000000.0,19417182.0,AU,2001,-20582818.0,Low
Trash,2015-10-09,7.1,"Adventure, Crime, Drama, Thriller",12000000.0,6553186.0,AU,2015,-5446814.0,Medium
When Dinosaurs Ruled the Earth,1971-03-17,6.2,"Adventure, Fantasy, Science Fiction",136200000.0,363305380.2,US,1971,227105380.2,Medium
Nobody's Home,2013-04-10,6.4,Drama,80400000.0,411716817.2,TR,2013,331316817.2,Medium
Adventures of Arsène Lupin,2004-10-13,5.3,"Romance, Action, Adventure, Crime, Mystery",23000000.0,4483042.8,FR,2004,-18516957.2,Low
Bull Durham,1988-11-03,6.7,"Comedy, Romance",7000000.0,50888000.0,AU,1988,43888000.0,Medium
The Chamber,1996-10-11,6.0,"Crime, Drama",50000000.0,22540359.0,US,1996,-27459641.0,Low
Love Letter,1995-03-25,7.7,"Drama, Romance",80000000.0,381000857.6,JP,1995,301000857.6,High
The Men Who Stare at Goats,2010-08-30,6.0,"Comedy, War",24000000.0,67348218.0,AU,2010,43348218.0,Low
Breaking Surface,2020-02-14,6.8,"Action, Drama, Thriller",32710000.0,98157.0,SE,2020,-32611843.0,Medium
The Meyerowitz Stories (New and Selected),2017-10-13,6.5,"Comedy, Drama",73000000.0,572490615.4,AU,2017,499490615.4,Medium
Detective Conan: The Fourteenth Target,1998-04-19,7.1,"Adventure, Animation, Crime, Family, Mystery",25645400.0,16330622.0,US,1998,-9314778.0,Medium
Dick,1999-08-04,5.9,Comedy,13000000.0,6276869.0,US,1999,-6723131.0,Low
The Librarian: The Curse of the Judas Chalice,2008-10-25,6.2,"Fantasy, Adventure, Comedy",104000000.0,301396747.2,AU,2008,197396747.2,Medium
The Killing Fields,1985-02-13,7.5,"Drama, History, War",16000000.0,34609720.0,AU,1985,18609720.0,Medium
The World of Adultery,2020-07-10,7.8,"Drama, Romance",108000000.0,973912359.0,KR,2020,865912359.0,High
Minions: Orientation Day,2010-12-13,6.9,"Animation, Family, Comedy",116400000.0,187299322.0,US,2010,70899322.0,Medium
Man of the House,2005-05-12,5.7,"Comedy, Action",50000000.0,22099706.0,AU,2005,-27900294.0,Low
Joe's Apartment,1996-07-26,5.6,"Comedy, Fantasy",13000000.0,4619014.0,US,1996,-8380986.0,Low
The Professional,1981-10-21,7.3,"Action, Adventure, Thriller",100800000.0,769321430.6,FR,1981,668521430.6,Medium
The Search for Santa Paws,2010-11-23,6.3,"Family, Adventure",96200000.0,474833112.8,US,2010,378633112.8,Medium
Hit & Run,2012-08-30,5.7,"Action, Comedy, Romance",22000000.0,17216955.0,AU,2012,-4783045.0,Low
Samba,2015-04-02,6.3,"Drama, Comedy",20000000.0,151530.0,AU,2015,-19848470.0,Medium
The Monster Squad,1988-06-23,6.7,"Comedy, Action, Fantasy",12000000.0,3769990.0,AU,1988,-8230010.0,Medium
Hole-in-law 2,2020-09-11,3.5,Drama,47270000.0,329856760.8,KR,2020,282586760.8,Low
Somewhere in Time,1980-10-03,7.5,"Drama, Fantasy, Romance",5100000.0,9709597.0,US,1980,4609597.0,Medium
Black Butterfly,2017-05-26,6.2,"Thriller, Mystery",142000000.0,609414498.8,US,2017,467414498.79999995,Medium
Iron Man & Hulk: Heroes United,2013-12-03,5.8,"Action, Adventure, Animation, Family",108000000.0,535664841.4,US,2013,427664841.4,Low
Knight Moves,1992-01-14,5.9,"Mystery, Thriller",9000000.0,923418.0,US,1992,-8076582.0,Low
Amour,2012-10-31,7.8,"Drama, Romance",9700000.0,36787044.0,AU,2012,27087044.0,High
Vantage Point,2008-02-01,6.4,"Drama, Action, Thriller, Crime",40000000.0,150886329.0,AU,2008,110886329.0,Medium
Ghost in the Shell: The New Movie,2015-11-26,6.7,"Science Fiction, Animation",4301620.0,101203.0,AU,2015,-4200417.0,Medium
The Yellow Sea,2010-12-22,7.3,"Drama, Thriller, Crime",87600000.0,830669408.0,KR,2010,743069408.0,Medium
Jack Mimoun & the Secrets of Val Verde,2022-10-12,5.5,"Comedy, Adventure",14470000.0,15493044.4,FR,2022,1023044.4000000004,Low
Your Friend the Rat,2007-11-06,6.7,"Animation, Family",112800000.0,356126924.8,US,2007,243326924.8,Medium
Detective Dee: The Four Heavenly Kings,2018-09-13,6.3,"Mystery, Fantasy, Adventure, Action",5648225.8,84168923.0,HK,2018,78520697.2,Medium
